candidate_id,english,us_auth,license_three_years,dot_cert,clean_criminal_record,weight_acceptance,truck_xp,pkg_delv_xp,marijuana,start_timeframe,weekly_avalibility,clean_driving_record,resume_url,created_at,previous_xp_description,truck_xp_desc
91,True,True,True,False,True,True,True,False,No - I do not consume marijuana,As soon as possible,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",True,,1/7/2025 15:52:14,,I used to drive my uncles company van to deliver new papers
92,True,True,True,False,True,True,True,True,No - I do not consume marijuana,Two (2) weeks from now,"Monday, Tuesday, Wednesday, Thursday, Friday",True,,1/7/2025 16:27:34,I’ve worked for 3rd party company that worked through FedEx I was a delivery driver driving a 23ft box truck had everything from small to really big packages doing about 100-160 stops daily.,I’ve driven 23-26ft delivery trucks in total about 2 years total experience driving this size of vehicles
93,True,True,True,False,True,True,True,True,No - I do not consume marijuana,As soon as possible,"Monday, Tuesday, Wednesday, Thursday, Friday",True,,1/7/2025 16:57:07,Amazon step van driver. DOT certified. 150-200 stops a day. 300-500 packages. Over size packages and small packages,I've driven all types of delivery vehicles. I've been driving a step van for a little over a year. Smaller vans for over 3 years
94,True,True,True,False,True,True,True,False,No - I do not consume marijuana,As soon as possible,"Monday, Tuesday, Wednesday, Thursday",True,,1/7/2025 18:43:25,,"Wide body trucks, U-haul moving trucks"
95,True,True,True,False,True,True,True,False,No - I do not consume marijuana,As soon as possible,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",True,,1/7/2025 19:02:10,,SPRINTER VANS/ LARGE WORK TRUCKS
96,True,True,True,False,True,True,True,True,No - I do not consume marijuana,As soon as possible,"Monday, Tuesday, Thursday, Friday, Saturday",True,,1/7/2025 19:16:17,130,"Step Van, Sprinter"
97,True,True,True,False,True,True,True,True,No - I do not consume marijuana,As soon as possible,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",True,,1/7/2025 19:16:59,200 stops every day and more,Mercedes Benz Sprinter and Dodge
98,True,True,True,False,True,True,True,True,No - I do not consume marijuana,Four (4) or more weeks from now,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",True,,1/7/2025 19:42:56,I delivered material for a drywall company.,I drove. a ford f 650 with a 16 feet long bed for 5 years
99,True,True,True,False,True,True,True,False,No - I do not consume marijuana,As soon as possible,"Monday, Tuesday, Wednesday, Friday, Sunday, Thursday, Saturday",True,,1/7/2025 19:43:19,,Chevy express work van while installing security systems.
100,True,True,True,False,True,True,False,False,No - I do not consume marijuana,As soon as possible,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",True,,1/7/2025 19:44:44,,
101,True,True,True,False,True,True,True,True,No - I do not consume marijuana,As soon as possible,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",True,,1/7/2025 19:58:13,5 stops typically delivering hardwood flooring to acclimate before I do the installation using a 18ft box truck,Nissan box truck 18 ft
102,True,True,True,False,True,True,True,False,No - I do not consume marijuana,As soon as possible,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",True,,1/7/2025 20:05:38,,18ft flat bed
103,True,True,True,False,True,True,False,True,No - I do not consume marijuana,As soon as possible,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",True,,1/7/2025 20:43:18,I had 292 stops and it was for Amazon,
104,True,True,True,False,True,True,False,True,No - I do not consume marijuana,As soon as possible,"Monday, Tuesday, Wednesday, Thursday, Friday",True,,1/7/2025 20:57:50,Post mates,
105,True,True,True,False,True,True,True,True,No - I do not consume marijuana,Two (2) weeks from now,"Monday, Tuesday, Wednesday, Friday, Thursday, Saturday",True,,1/7/2025 21:02:40,i delivered at least 20 order of furniture a day for ikea.,"box trucks, mail trucks, 24 ft  uhaul tucks"
